WORD,COUNT
stop,20
taking,20
terrible,20
thoughts,20
wisdom,20
wondering,20
afternoon,19
begin,19
bound,19
breakfast,19
burden,19
counsel,19
crept,19
death,19
direction,19
entered,19
forth,19
gift,19
laughing,19
laughter,19
learn,19
likely,19
listened,19
lords,19
lower,19
meeting,19
message,19
noon,19
precious,19
ridge,19
showed,19
smiled,19
touched,19
towers,19
view,19
winding,19
within,19
woke,19
altogether,18
bad,18
banks,18
belt,18
boughs,18
brief,18
busy,18
cross,18
dared,18
deeply,18
dol,18
dragon,18
glimpse,18
gloom,18
halls,18
holes,18
lad,18
lake,18
landlord,18
lot,18
mark,18
midst,18
needed,18
pleasant,18
pursuit,18
quest,18
riding,18
smooth,18
sooner,18
stared,18
third,18
underhill,18
wanted,18
wore,18
afterwards,17
autumn,17
awake,17
burst,17
careful,17
catch,17
command,17
creature,17
crown,17
deeds,17
died,17
disappeared,17
eating,17
elder,17
enemies,17
flowing,17
flying,17
grown,17
hey,17
hoofs,17
horn,17
huge,17
knowledge,17
luck,17
magic,17
minds,17
nimrodel,17
northward,17
number,17
proved,17
rocks,17
seas,17
servants,17
shoulders,17
sighed,17
skill,17
slender,17
slept,17
sorry,17
stronger,17
trail,17
treasure,17
whispered,17
wrought,17
aloud,16
anxious,16
anyone,16
beasts,16
blew,16
blow,16
break,16
chain,16
content,16
covered,16
cries,16
delight,16
dogs,16
dread,16
eastwards,16
events,16
father,16
feast,16
flight,16
fond,16
friendly,16
friendship,16
galad,16
gap,16
gathering,16
gently,16
gil,16
gleam,16
grief,16
hat,16
having,16
heir,16
hood,16
hoped,16
island,16
knees,16
laden,16
language,16
leaf,16
leagues,16
meaning,16
mostly,16
noticed,16
order,16
packs,16
perilous,16
pity,16
pools,16
realm,16
sense,16
ship,16
shores,16
smile,16
stooped,16
summer,16
swords,16
task,16
threw,16
thus,16
unfriendly,16
usually,16
village,16
wings,16
according,15
adventure,15
aid,15
amon,15
battle,15
bearer,15
beast,15
begun,15
believed,15
blankets,15
bow,15
bushes,15
carried,15
chosen,15
cloaks,15
courage,15
creatures,15
dimrill,15
drawing,15
dry,15
eat,15
enter,15
fine,15
fly,15
guide,15
harm,15
height,15
hurried,15
jumped,15
laugh,15
lawn,15
letter,15
lives,15
looks,15
mail,15
march,15
mouth,15
pain,15
pardon,15
parting,15
pillars,15
please,15
radagast,15
rangers,15
roads,15
sad,15
sang,15
shadowy,15
sought,15
space,15
strangers,15
stretched,15
struck,15
therefore,15
touch,15
track,15
trolls,15
twilight,15
various,15
warning,15
worst,15
wrong,15
adventures,14
anxiously,14
backs,14
brandy,14
bucklebury,14
clean,14
closely,14
count,14
crack,14
daylight,14
discovered,14
eaten,14
errand,14
escaped,14
families,14
figures,14
finished,14
folly,14
fool,14
funny,14
galadhrim,14
gazed,14
gentle,14
havens,14
hearing,14
hilt,14
hither,14
hurry,14
imagined,14
kingdom,14
knowing,14
lamps,14
larger,14
leaping,14
letters,14
lobelia,14
messages,14
mines,14
mists,14
peered,14
peering,14
perils,14
prepared,14
question,14
raised,14
reeds,14
runs,14
sank,14
sheer,14
spare,14
stairs,14
staring,14
stayed,14
sting,14
stuff,14
tops,14
twenty,14
wake,14
whisper,14
wilderland,14
works,14
worry,14
arrows,13
baggage,13
beer,13
bolger,13
burned,13
bye,13
bywater,13
carry,13
cliffs,13
clothes,13
comfortable,13
couldn,13
crossing,13
crying,13
decide,13
destroy,13
dreadful,13
driven,13
dull,13
echo,13
elbereth,13
fading,13
fail,13
fashion,13
final,13
finding,13
foes,13
fresh,13
glance,13
glass,13
gleamed,13
halt,13
haste,13
helped,13
hurrying,13
joy,13
kindred,13
knife,13
leaned,13
legends,13
lines,13
matters,13
mere,13
mistake,13
mortal,13
oh,13
perished,13
pipe,13
plainly,13
pointing,13
points,13
presents,13
putting,13
remains,13
rich,13
seeking,13
shallow,13
shan,13
signs,13
six,13
someone,13
southward,13
spell,13
spite,13
starlight,13
stick,13
stony,13
stories,13
surely,13
swept,13
ten,13
tread,13
twice,13
vast,13
waste,13
weapons,13
weariness,13
wet,13
writing,13
afar,12
allowed,12
amazement,12
angry,12
asking,12
attack,12
balrog,12
barliman,12
behold,12
bird,12
blood,12
boots,12
brandybucks,12
breast,12
brow,12
calling,12
ceased,12
children,12
clearer,12
clearly,12
comfort,12
crickhollow,12
deeper,12
desperate,12
discover,12
drove,12
ends,12
eyed,12
fancy,12
flet,12
flows,12
forced,12
fortune,12
gazing,12
glade,12
glimmering,12
glittered,12
heed,12
higher,12
holding,12
huddled,12
hurt,12
isengard,12
jewels,12
journeyed,12
leader,12
lonely,12
loomed,12
loss,12
marched,12
marks,12
means,12
miss,12
money,12
nigh,12
noises,12
odd,12
older,12
openly,12
pace,12
pack,12
picked,12
plunged,12
