WORD,COUNT
tenth,77
use,77
brake,76
clear,76
clouds,76
continually,76
haste,76
hurt,76
lamb,76
nevertheless,76
oh,76
remained,76
served,76
true,76
abomination,75
cursed,75
forsaken,75
fought,75
horns,75
horsemen,75
liveth,75
occhi,75
selah,75
stars,75
vision,75
youth,75
abominations,74
ago,74
eleazar,74
escaped,74
home,74
kind,74
passover,74
slept,74
villages,74
want,74
amorites,73
arrows,73
bringeth,73
doeth,73
duca,73
fa,73
hebron,73
minister,73
reuben,73
silent,73
sware,73
tall,73
tanto,73
waste,73
caught,72
dan,72
healed,72
hobbit,72
images,72
less,72
lies,72
nice,72
sold,72
standing,72
chambers,71
devour,71
forget,71
forgotten,71
gad,71
gente,71
lebanon,71
pale,71
read,71
upright,71
favour,70
fuor,70
ogne,70
raised,70
rising,70
rode,70
rulers,70
terra,70
ad,69
beneath,69
committed,69
cui,69
elijah,69
established,69
levi,69
mordor,69
ought,69
re,69
silence,69
smoke,69
staff,69
syria,69
taketh,69
teeth,69
wept,69
whence,69
avea,68
christ,68
defiled,68
eastward,68
except,68
galilee,68
guess,68
heed,68
hither,68
prison,68
reward,68
speech,68
swear,68
vineyard,68
weight,68
womb,68
abide,67
acts,67
bright,67
burning,67
crown,67
job,67
questo,67
rent,67
sacrifices,67
sanza,67
song,67
abimelech,66
believed,66
bethel,66
blue,66
cease,66
chaldeans,66
fail,66
free,66
fulfilled,66
pour,66
proud,66
running,66
sanctify,66
scribes,66
shouldest,66
sides,66
taught,66
tents,66
divided,65
empty,65
lived,65
longer,65
met,65
nine,65
questa,65
sorrow,65
stay,65
upward,65
asses,64
baal,64
beloved,64
borders,64
cherubims,64
consider,64
doubt,64
mai,64
ox,64
parts,64
perfect,64
pleasant,64
reason,64
shechem,64
simon,64
streets,64
terrible,64
touch,64
abner,63
affliction,63
bent,63
coast,63
comfort,63
companions,63
faint,63
jericho,63
next,63
remembered,63
rich,63
search,63
shadows,63
signs,63
te,63
treasures,63
v,63
wast,63
cup,62
elves,62
harvest,62
laughed,62
rather,62
seventy,62
smitten,62
sotto,62
souls,62
speaking,62
thick,62
thoughts,62
turning,62
voices,62
zedekiah,62
abram,61
abundance,61
altri,61
captive,61
chariot,61
col,61
driven,61
nay,61
seat,61
sitting,61
straight,61
syrians,61
thereon,61
asa,60
balaam,60
blemish,60
close,60
clothed,60
drive,60
fifth,60
fish,60
gran,60
hated,60
mordecai,60
nebuchadnezzar,60
tal,60
thousands,60
tidings,60
abode,59
afterward,59
bashan,59
commit,59
f,59
forgive,59
further,59
jehu,59
loco,59
loins,59
vedi,59
vine,59
canto,58
chamber,58
changed,58
elisha,58
false,58
forsake,58
itself,58
line,58
rule,58
spring,58
sure,58
afar,57
charged,57
colui,57
countries,57
delight,57
ends,57
esser,57
esther,57
exalted,57
flour,57
fui,57
garden,57
honey,57
loud,57
mondo,57
redeemed,57
swift,57
testimony,57
unleavened,57
awake,56
blessing,56
broad,56
dealt,56
endureth,56
household,56
k,56
killed,56
laban,56
mingled,56
officers,56
pleased,56
promised,56
suffer,56
trumpet,56
trumpets,56
ugl,56
yoke,56
beauty,55
canaanites,55
devoured,55
feel,55
graven,55
habitation,55
kingdoms,55
male,55
oath,55
order,55
orthanc,55
paths,55
raiment,55
raise,55
refuge,55
seems,55
spear,55
voi,55
worshipped,55
altars,54
ancient,54
consume,54
creature,54
despised,54
dominion,54
inherit,54
learn,54
lieth,54
measure,54
nakedness,54
parte,54
prima,54
qua,54
queen,54
redeem,54
shield,54
sockets,54
speaketh,54
spoiled,54
stretch,54
swords,54
bitter,53
cedar,53
cliff,53
doings,53
fierce,53
haman,53
josiah,53
lords,53
pay,53
person,53
pilate,53
scribe,53
seem,53
tables,53
thorns,53
thrust,53
touched,53
violence,53
zadok,53
age,52
ai,52
angry,52
bind,52
buy,52
certainly,52
countenance,52
daily,52
ephod,52
fangorn,52
fill,52
following,52
grow,52
helm,52
iniquities,52
jehoiada,52
judges,52
leaves,52
mary,52
middle,52
minas,52
move,52
observe,52
rings,52
slaughter,52
sprang,52
staves,52
try,52
tutti,52
beheld,51
belly,51
best,51
cave,51
comes,51
falling,51
fingers,51
fowls,51
hungry,51
increased,51
knees,51
mia,51
ond,51
piece,51
pillar,51
pity,51
pride,51
quivi,51
seeth,51
sepulchre,51
shoulder,51
talents,51
via,51
whoso,51
widow,51
wonders,51
afflicted,50
ashes,50
blow,50
camels,50
divide,50
dwelling,50
ghost,50
governor,50
howbeit,50
immediately,50
large,50
mischief,50
months,50
naphtali,50
noah,50
obey,50
rehoboam,50
savour,50
scarlet,50
ship,50
singing,50
talk,50
thanks,50
anything,49
azariah,49
bank,49
bit,49
canst,49
covering,49
decree,49
dietro,49
doing,49
drawn,49
ei,49
former,49
instruments,49
joash,49
loveth,49
mr,49
parable,49
posts,49
quei,49
risen,49
slow,49
tua,49
wrote,49
wroth,49
across,48
almighty,48
armies,48
captives,48
confounded,48
desert,48
desolation,48
el,48
enquire,48
gibeah,48
goest,48
hell,48
ishmael,48
measured,48
mourning,48
prosper,48
quiet,48
safe,48
sanctified,48
sovra,48
substance,48
tuo,48
whereof,48
ahead,47
axe,47
builded,47
coasts,47
devils,47
dost,47
faithful,47
gentiles,47
ill,47
mean,47
palace,47
past,47
pestilence,47
prayed,47
questi,47
rachel,47
repaired,47
satisfied,47
shed,47
simeon,47
spare,47
swiftly,47
terror,47
used,47
weep,47
wheat,47
bands,46
corner,46
damsel,46
dentro,46
finished,46
flood,46
grown,46
halted,46
inferno,46
instead,46
mal,46
onde,46
prophesied,46
purple,46
pursued,46
season,46
sworn,46
transgression,46
transgressions,46
va,46
washed,46
windows,46
wormtongue,46
ah,45
assembly,45
beautiful,45
bullocks,45
business,45
cubit,45
damascus,45
exceeding,45
flame,45
hail,45
handmaid,45
heareth,45
herself,45
jesse,45
kindness,45
loose,45
net,45
pleasure,45
shout,45
sia,45
snare,45
sodom,45
speed,45
tarry,45
towns,45
truly,45
vineyards,45
waited,45
zebulun,45
beat,44
bosom,44
choice,44
cunning,44
dried,44
foolish,44
gladness,44
grace,44
inner,44
language,44
milk,44
mourn,44
multiply,44
naked,44
news,44
persons,44
plant,44
planted,44
remove,44
sackcloth,44
southward,44
stony,44
talked,44
utter,44
veder,44
won,44
asher,43
balak,43
bottom,43
chance,43
change,43
conceived,43
duke,43
hundreds,43
issachar,43
kid,43
lions,43
named,43
quanto,43
shekel,43
shepherd,43
softly,43
spears,43
stair,43
suppose,43
tale,43
valour,43
walking,43
weeping,43
worthy,43
ahaz,42
alas,42
allor,42
angels,42
appear,42
bars,42
benaiah,42
birds,42
bought,42
desired,42
dio,42
entering,42
fatherless,42
gift,42
goodness,42
goods,42
hot,42
issue,42
latter,42
nathan,42
root,42
shake,42
shimei,42
shoulders,42
westward,42
write,42
appoint,41
beaten,41
bird,41
care,41
devil,41
dim,41
dwarf,41
eateth,41
ere,41
fece,41
fools,41
gilgal,41
joined,41
messenger,41
northward,41
office,41
quite,41
shemaiah,41
shepherds,41
sixth,41
viso,41
worse,41
alcun,40
amaziah,40
anima,40
beseech,40
boards,40
branch,40
bury,40
chronicles,40
climbed,40
compassed,40
dinanzi,40
establish,40
floor,40
hall,40
heap,40
hidden,40
interpretation,40
merciful,40
often,40
opening,40
polluted,40
pool,40
rispuose,40
roof,40
salt,40
shadowfax,40
storm,40
tender,40
thin,40
tried,40
vengeance,40
vow,40
zechariah,40
answering,39
armed,39
bethlehem,39
brook,39
c,39
creeping,39
defile,39
doest,39
dwelleth,39
ephah,39
fig,39
gideon,39
gifts,39
guide,39
heal,39
judged,39
keepeth,39
lad,39
leprosy,39
merari,39
mercies,39
midian,39
molten,39
narrow,39
perform,39
plead,39
point,39
porch,39
reach,39
restore,39
room,39
sarah,39
seeketh,39
seir,39
shining,39
ships,39
